titulo,localizacion,precio,baños,habitabiones,metros_construidos,estrato,parqueadero,gas_natural,conina_integral,cuarto_servicio,balcon,patio,seguridad_privada,jardin,closet,cocina_amoblada,aire_acondicionado,vista_panoramica,piscina,bodega,area_infantil,jacuzzi,gimnacio,bbq,agua,electricidad,cuarto_de_oficina,alarma,cancha_tenis,terraza,internet,tanque_de_de_agua,permite_ninos,solo_familias,sauna,estudio,conserje,caseta_vigilancia
Casa en venta en Providencia,Providencia,380000000,2.0,3.0,153.0,3.0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1
Casa en venta en Manga,Manga,6000000000,6.0,5.0,1400.0,5.0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en España,España,390000000,2.0,4.0,195.0,3.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en Mamonal,Mamonal,800000000,2.0,3.0,157.0,2.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en Centro,Centro,8000000000,4.0,4.0,428.0,6.0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0
Casa en venta en Providencia,Providencia,300000000,4.0,6.0,160.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en Daniel Lemaitre,Daniel Lemaitre,450000000,4.0,8.0,153.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en La Concepción,La Concepción,380000000,4.0,3.0,120.0,3.0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en Manga,Manga,1350000000,4.0,5.0,228.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casa en venta en Alameda a Vistoria,Alameda a Vistoria,500000000,2.0,4.0,300.0,2.0,1,0,1,0,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
